"Age","Country","GhostFollowersPercentage"
20," Israel ","27.675"
26,"Israel","72.8964"
23,"Israel","40.2353"
24,"Israel","35.2096"
23,"Israel","15.2927"
28,"Israel","34.6793"
37,"Israel","16.2901"
39,"Israel","18"
26,"Israel","26.2712"
28,"Israel","1.06132"
22,"Israel","23.7745"
24,"Israel","30.2741"
21,"Israel","35.4118"
26,"isarel","22.8029"
43,"Israel","17.5209"
38,"Israel","19.3625"
21,"Israel","58.4431"
28,"Israel","47.8723"
20,"Israel","29.5238"
17,"Israel","48.5242"
40,"Israel","45.367"
35,"Israel","29.5318"
25,"Israel","22.5728"
28,"Israel","23.9001"
38,"Israel","21.0965"
24,"Israel","41.9355"
24,"Israel","59.2547"
31,"Israel","57.0909"
23,"Israel","51.335"
23,"Israel","38.3055"
30,"Israel","7.72889"
20,"Israel","43.4629"
21,"Israel","37.8049"
24,"Israel","48.8784"
18,"Israel","59.3381"
15,"Israel","48.3909"
30,"Israel","52.1161"
18,"Israel","50.7075"
33,"Israel","21.327"
26,"Israel","47.2594"
30,"Israel","33.253"
23,"Israel","31.9857"
41,"Israel","11.1779"
39,"Israel","20.6651"
41,"Israel","26.4463"
29,"Israel","23.0216"
23,"Israel","29.3698"
27,"Israel","7.27273"
19,"Israel","20.4657"
19,"Israel","40.1176"
22,"Israel","31.566"
25,"Israel","17.8487"
23,"Israel","38.9412"
24,"Israel",""
25,"Israel","9.18367"
27,"Israel","34.5361"
28,"Israel","33.0818"
25,"Israel","28.4625"
38,"Israel","11.4691"
18,"Israel","39.159"
21,"Israel","21.9265"
23,"Israel","37.8129"
23,"Israel","50.4065"
21,"Israel","34.8101"
26,"Israel","26.7788"
29,"Israel","32.4254"
23,"Israel","23.5369"
24,"Israel","12.7771"
19,"Israel","36.7554"
32,"Israel","25.1899"
26,"Israel","18.6856"
27,"Israel","17.8255"
38,"Israel","56.962"
36,"Israel","18.9262"
21,"Israel","39.3273"
31,"Israel","16.3588"
26,"Israel","26.6927"
